siteid,description,state,latitude,longitude,elevation,timezone,install,horizontal_datum,vertical_datum,vertical_accuracy,elevation_method,tz_offset,active_flag,type,responsibility,agency_region,huc12
buri,Burgess Canal,ID,43.65611111,-111.7825,4950,US/Mountain,00:00.0,13038110,ft,0,,,,hydromet,IDWR,PN,1.70E+11
buso,"Silvies River near Burns, OR",OR,43.71527778,-119.1763889,4195,US/Pacific,.......................,0,ft,0,,,,hydromet,OWRD,PN,1.71E+11
bvpc,"DRI - Bridgeport Valley, Nevada Weather Station",NV,38.223056,-119.252222,1979.676,US/Pacific,7/12/2012,,m,0,agrimet_map,,,agrimet,dri,PN,1.61E+11
bvro,BEAVER RESERVOIR,OR,45.13333333,-118.2166667,203.8333333,0,.......................,331,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.71E+11
caco,Cascade Canal near Fish Lake,OR,42.40555556,-122.2680556,5235,US/Pacific,05:58.9,0,ft,0,,,,hydromet,BFO,PN,1.80E+11
cami,WEISER R NR CAMBRIDGE,ID,44.579444,-116.643333,0,US/Mountain,00:00.0,13258500,ft,0,,,,hydromet,usgs,PN,1.71E+11
cane,"Calamus Reservoir (Virginia Smith Dam), Nebraska",NE,41.82722,-99.21972,2255,CST,,,,,,,,,,GP,
capo,Crooked River at Prineville,OR,44.30085,-120.85925,2854,US/Pacific,4/17/2015,0,ft,0,,,,hydromet,BFO,PN,1.71E+11
carterco,"Carter Lake Reservoir Near Loveland, Co",CO,40.32417,-105.21194,6745,MST,,,,,,,,,,GP,
cash,CASH PRAIRIE STARTUP VERIFICATION,WA,46.71527778,-121.1488889,0,US/Pacific,00:00.0,0,ft,0,,,,hydromet,Yakima,PN,1.70E+11
cayw,"Cayuse Pass, WA",WA,46.86666667,-121.5333333,208.3333333,0,.......................,1085,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.71E+11
cbci,Corbett Canal,ID,43.25333333,-112.2716667,4524,US/Mountain,00:00.0,13061650,ft,0,,,,hydromet,IDWR,PN,1.70E+11
cbgi,"CAMBRIDGE, ID",ID,0,0,0,US/Mountain,.......................,0,ft,0,,,,hydromet,,PN,
cbl01,"Carbondale, Colorado CoAgMet Weather Station",CO,39.3623,-107.208,1918,US/Mountain,9/5/2017,0,0,0,ccc,,T,agrimet,ccc,PN,1.40E+11
ccdi,CAMAS CREEK DIVIDE,ID,43.25,-115.3333333,210.1666667,0,.......................,382,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.70E+11
ccdt,"Choke Canyon Reservoir Near Three Rivers, Texas",TX,28.46667,-98.16667,1994,CST,,,,,,,,,,GP,
ccks,"Cawker City Dike, Kansas",KS,39.49889,-98.44056,1482,CST,,,,,,,,,,GP,
ccl,"Salmon Lake Dam and Conconully Lake nr Conconully,WA",WA,48.5585374,-119.745,2325,US/Pacific,51:33.3,,ft,0,cma_google,,,hydromet,pnro,PN,1.70E+11
ccpi,Canyon Creek Lateral Pump,ID,43.90333333,-111.5380556,5340,US/Mountain,40:12.0,13054801,ft,0,,,,hydromet,IDWR,PN,1.70E+11
ccr,"Clark Canyon Reservoir, Beaverhead Rvr Nr Dillon, Mt",MT,45.00167,-112.8575,5580,MST,,,,,,,,,,GP,
ccr,"Conconully Dam and Reservoir near Conconully, WA",WA,48.53806,-119.74722,2290,US/Pacific,32:48.5,,ft,0,cma_google,,,hydromet,pnro,PN,1.70E+11
ccro,"Middle Fork John Day River at Camp Creek, OR",OR,44.69277778,-118.7941667,3960,US/Pacific,04:27.7,0,ft,0,,,,hydromet,CSRO,PN,1.71E+11
cdai,"Coeur d'Alene Fairgrounds, Idaho Weather Station",ID,47.71797,-116.78418,620,US/Pacific,11/19/2014,,m,0,agrimet_map,,,agrimet,pnro,PN,1.70E+11
ceci,Clark and Edwards Canal,ID,43.65694444,-111.7833333,4940,US/Mountain,00:00.0,13038115,ft,0,,,,hydromet,IDWR,PN,1.70E+11
cedc,"Cedarville, California AgriMet Weather Station",CA,41.58527,-120.17138,1402.08,US/Pacific,4/24/1985,,m,0,agrimet_map,,,agrimet,pnro,PN,1.81E+11
cedu,"UCC - Cedar City, Utah Weather Station",UT,37.67296667,-113.1371667,1685.2392,US/Mountain,,,m,0,agrimet_map,,,agrimet,ucc,PN,1.60E+11
ceno,Central Oregon Canal,OR,44.03027778,-121.2947222,3770,US/Pacific,28:17.5,14066500,ft,0,,,,hydromet,owrd,PN,1.71E+11
cfci,Consolidated Farmers Canal,ID,43.94,-111.7275,4900,US/Mountain,.......................,13050545,ft,0,,,,hydromet,IDWR,PN,1.70E+11
cfmm,"Flathead River at Columbia Falls, MT",MT,48.36194444,-114.1838889,2978,US/Mountain,00:00.0,12363000,ft,0,,,,hydromet,usgs,PN,1.70E+11
cfrsat,"Canyon Ferry Lake Near Helena, Montana",MT,46.64917,-111.7275,3673,MST,,,,,,,,,,GP,
cfsw,Chandler Fish Screen Weather Station,WA,46.21666667,-119.7577778,620,US/Pacific,.......................,0,ft,0,,,,hydromet,Yakima,PN,1.70E+11
cgww,COWICHE CREEK AB. MOUTH,WA,47.19,-120.8222222,1950,US/Pacific,50:59.1,0,ft,0,,,,hydromet,Yakima,PN,1.70E+11
chaw,"Chamokane, Washington AgriMet Weather Station",WA,48.03138,-117.73916,594.36,US/Pacific,11/27/2007,,m,0,agrimet_map,,,agrimet,pnro,PN,1.70E+11
chci,Chester Canal,ID,43.99944444,-111.5291667,5120,US/Mountain,44:37.5,13048705,ft,0,,,,hydromet,IDWR,PN,1.70E+11
chcw,CHANDLER - PROSSER POWER CANAL,WA,46.23277778,-119.6744444,0,US/Pacific,00:00.0,0,ft,0,,,,hydromet,Yakima,PN,1.70E+11
chei,"Falls River near Chester, ID",ID,44.01833,-111.56583,5052,US/Mountain,00:00.0,13049500,ft,0,Bill_KML,,,hydromet,usgs/pnro,PN,1.70E+11
chj,CHIEF JOSEPH DAM,WA,48.00666667,-119.6641667,960,US/Pacific,00:00.0,0,ft,0,,,,hydromet,Corps,PN,1.70E+11
chro,"Cherry Creek near Fort Klamath, OR",OR,42.59833333,-122.0955556,4436,US/Pacific,38:25.3,0,ft,0,,,,hydromet,Klamath,PN,1.80E+11
chrw,"CHERRY CREEK (THRALL RD.,KITTITAS VAL)",WA,46.92583333,-120.5002778,1405,US/Pacific,00:00.0,0,ft,0,,,,hydromet,Yakima,PN,1.70E+11
chuo,CHEMULT ALTERNATE,OR,43.21666667,-121.8,201.8333333,0,.......................,395,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.80E+11
chvo,"Christmas Valley, Oregon AgriMet Weather Station",OR,43.24138,-120.72805,1312.16,US/Pacific,4/22/1985,,m,0,agrimet_map,,,agrimet,pnro,PN,1.71E+11
cibw,Columbia River at International Boundary,WA,48.97138889,-117.6469444,0,US/Pacific,00:00.0,12399500,ft,0,,,,hydromet,PNRO,PN,1.70E+11
cjdw,"Chief Joseph Dam, Washington AgriMet Weather Station",WA,47.99083,-119.63555,301.75,US/Pacific,4/15/2002,,m,0,agrimet_map,,,agrimet,pnro,PN,1.70E+11
cjs,"C J STRIKE RES. NR GRAND VIEW,ID.",ID,42.94388889,-115.9744444,2460,US/Mountain,00:00.0,13171500,ft,0,,,,hydromet,USGS,PN,1.71E+11
ckko,"Crooked Rver near Terrebonne, OR",OR,44.35833333,-121.1177778,2750,US/Pacific,29:38.3,0,ft,0,,,,hydromet,BFO,PN,1.71E+11
ckvy,"Cokeville, Wyoming AgriMet Weather Station",ID,42.077831,-110.95611,1887,US/Mountain,3/9/2015,,m,0,agrimet_map,,,agrimet,pnro,PN,1.60E+11
cldi,"St. Joe River at Calder, ID",ID,47.27464,-116.189049,0,US/Pacific,.......................,12414500,ft,0,,,,hydromet,usgs,PN,1.70E+11
cle,"CLE ELUM RESERVOIR,RIVER AND WEATHER STATION",WA,47.24555556,-121.0733333,0,US/Pacific,00:00.0,0,ft,0,,,,hydromet,Yakima,PN,1.70E+11
clfw,"NACHES RIVER NEAR CLIFFDELL ,WA.",WA,46.90055556,-121.0172222,2195,US/Pacific,00:00.0,0,ft,0,,,,hydromet,Yakima,PN,1.70E+11
clk,"Clear Lake West Lobe, OR",OR,41.84666667,-121.2097222,4500,US/Pacific,02:56.8,0,ft,0,,,,hydromet,Klamath,PN,1.80E+11
clko,CLEAR LAKE,OR,45.18333333,-121.6833333,184.5,0,.......................,401,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.71E+11
cllo,CLACKAMAS LAKE,OR,45.08333333,-121.75,177.6666667,0,.......................,398,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.71E+11
clon,"Clover Valley, Nevada Weather Station",NV,40.86833333,-114.9694444,5646,US/Mountain,34:52.9,,ft,0,,,,agrimet,dri,PN,1.61E+11
clr,CLEAR LAKE (ELEV),WA,46.62861111,-121.2705556,2988,US/Pacific,55:39.3,0,ft,0,,,,hydromet,Yakima,PN,1.70E+11
cls,"Cold Springs Dam near Hermiston, OR",OR,45.86,-119.17083,620,US/Pacific,11:24.1,,ft,0,cma_google,,,hydromet,,PN,1.71E+11
clvn,"DRI - Clover Valley, Nevada Weather Station",NV,40.868333,-114.969444,1720.9008,US/Pacific,9/11/2011,,m,0,agrimet_map,,,agrimet,dri,PN,1.61E+11
clwy,COTTONWOOD CREEK,WY,42.63333333,-110.8,237.8333333,0,.......................,419,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.70E+11
clyw,CLEAR LAKE OUTFLOW (N FORK TIETON R. BLW CLEAR LAKE),WA,46.63083333,-121.2677778,2988,US/Pacific,00:00.0,0,ft,0,,,,hydromet,Yakima,PN,1.70E+11
cmo,"Lake Como near Hamilton, MT",MT,46.06396435,-114.2351673,4249,US/Mountain,00:00.0,,ft,0,Bill_KML,,,hydromet,pnro,PN,1.70E+11
cnci,Council Weather Station,ID,44.73038152,-116.4318595,2950,US/Mountain,19:46.3,,ft,0,Bill_KML,,,hydromet,pnro,PN,1.71E+11
coli,COOL CREEK,ID,46.75,-115.2833333,219.6666667,0,.......................,411,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.71E+11
colo,COUNTY LINE,OR,45.18333333,-118.55,198.5,0,.......................,422,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.71E+11
coop,COOPER PASS STARTUP VERIFICATION,WA,47.43055556,-121.2075,0,US/Pacific,00:00.0,0,ft,0,,,,hydromet,Yakima,PN,1.70E+11
copm,COPPER BOTTOM,MT,47.05,-112.5833333,198.6666667,0,.......................,413,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.70E+11
copw,CORRAL PASS,WA,47.01666667,-121.45,217.6666667,0,.......................,418,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.71E+11
coti,"Cottonwood Cr abv Fivemile Cr nr Boise, ID",ID,43.628611,-116.110833,3780,US/Mountain,35:43.7,13204640,ft,0,,,,hydromet,usgs,PN,1.71E+11
couy,COULTER CREEK,WY,44.16666667,-110.5666667,7020,US/Mountain,.......................,10E10S,ft,0,,,,hydromet,,PN,1.70E+11
covm,"Corvallis, Montana AgriMet Weather Station",MT,46.33333,-114.08333,1096.37,US/Mountain,4/27/1984,,m,0,agrimet_map,,,agrimet,pnro,PN,1.70E+11
cozi,COZY COVE,ID,44.28333333,-115.65,204.6666667,0,.......................,423,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.71E+11
cpcm,COPPER CAMP,MT,47.06666667,-112.7166667,227.8333333,0,.......................,414,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.70E+11
cppw,COOPER PASS,WA,47.42972222,-121.2108333,3280,US/Pacific,37:30.7,0,ft,0,,,,hydromet,Yakima,PN,1.70E+11
cra,"Crane Prairie Reservoir nr. LaPine, OR",OR,43.75513542,-121.7850123,4455,US/Pacific,50:27.3,,ft,0,cma_google,,,hydromet,,PN,1.71E+11
crai,CRATER MEADOWS,ID,46.55,-115.2833333,214.3333333,0,.......................,425,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.71E+11
crao,"Deschutes River below Crane Prairie Res., OR",OR,43.753452,-121.78364,4420,US/Pacific,50:49.6,14054000,ft,0,,,,hydromet,owrd,PN,1.71E+11
crbi,CRAB CREEK,ID,44.43333333,-111.9833333,225.3333333,0,.......................,424,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.70E+11
crci,Crosscut Canal at End,ID,43.92055556,-111.6119444,5010,US/Mountain,00:00.0,13050018,ft,0,,,,hydromet,IDWR,PN,1.70E+11
crco,"Crooked River Feed Canal near Prineville, OR",OR,44.23888889,-120.8625,2900,US/Pacific,00:45.0,14080590,ft,0,,,,hydromet,owrd,PN,1.71E+11
cre,"Crescent Lake near Crescent, OR",OR,43.50139,-121.97222,4860,US/Pacific,51:07.3,,ft,0,cma_google,,,hydromet,,PN,1.71E+11
creo,"Crescent Creek at Crescent Lake, OR",OR,43.502903,-121.973363,4820,US/Pacific,51:17.9,14060000,ft,0,,,,hydromet,owrd,PN,1.71E+11
crmi,"Craters of the Moon, ID",ID,43.46222,-113.56139,5897,US/Mountain,00:00.0,,ft,0,Bill_KML,,,hydromet,pnro,PN,1.70E+11
crnu,"UCC - Corinne, Utah Weather Station",UT,41.51915,-112.17395,1291.7424,US/Mountain,,,m,0,agrimet_map,,,agrimet,ucc,PN,1.60E+11
croo,"Crooked River bel Opal Springs nr Culver, OR (USGS)",OR,44.492341,-121.298377,1980,US/Pacific,.......................,14087400,ft,0,,,,hydromet,usgs,PN,1.71E+11
crpo,"Crooked River above Prineville Reservoir, nr Post OR",OR,44.17916667,-120.5877778,3250,US/Pacific,55:05.2,14079800,ft,0,,,,hydromet,owrd,PN,1.71E+11
crro,"Castle Rock Ranch, OR",OR,43.99583333,-118.2269444,3640,US/Mountain,00:00.0,0,ft,0,,,,hydromet,pnro,PN,1.71E+11
crsi,"N FK CLEARWATER RIVER NR CANYON RANGER STATION, ID",ID,46.840466,-115.620703,1660,US/Pacific,00:00.0,13340600,ft,0,,,,hydromet,usgs,PN,1.71E+11
crsm,"Creston, Montana AgriMet Weather Station",MT,48.1875,-114.12777,899.16,US/Mountain,5/4/1988,,m,0,agrimet_map,,,agrimet,pnro,PN,1.70E+11
crso,"Crooked Riv at Smith Rock St. Park nr Terrebonne, OR",OR,44.3675,-121.1388889,2680,US/Pacific,18:46.2,14087300,ft,0,,,,hydromet,owrd,PN,1.71E+11
crvo,"Corvallis, Oregon AgriMet Weather Station",OR,44.63416,-123.19,70.1,US/Pacific,2/27/1990,,m,0,agrimet_map,,,agrimet,pnro,PN,1.71E+11
crwi,"Crane Creek at Mouth nr Weiser, ID",ID,44.291389,-116.782222,2240,US/Mountain,.......................,13265500,ft,0,,,,hydromet,usgs,PN,1.71E+11
csao,US A Line Canal at Cold Springs Res nr Hermiston OR,OR,45.85388889,-119.1719444,530,US/Pacific,18:12.3,14029780,ft,0,,,,hydromet,owrd,PN,1.71E+11
csc,"Cascade Dam and Lake Cascade at Cascade, Idaho",ID,44.524598,-116.049617,4828,US/Mountain,00:00.0,,ft,0,cma_google,,,hydromet,pnro,PN,1.71E+11
csci,"North Fork Payette River at Cascade, Idaho",ID,44.524893,-116.046798,4730,US/Mountain,00:00.0,13245000,ft,0,,,,hydromet,PNRO,PN,1.71E+11
csco,COLD SPRINGS CAMP,OR,42.51666667,-122.1666667,221,0,.......................,406,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.80E+11
csdu,"Castle Dale, Utah Weather Station",UT,39.220131,-111.07003,1798,US/Mountain,12/1/2014,,m,0,agrimet_map,,,agrimet,pnro,PN,1.41E+11
cspw,CASH PRAIRIE,WA,46.71388889,-121.1505556,5980,US/Pacific,56:32.9,0,ft,0,,,,hydromet,Yakima,PN,1.70E+11
csri,"East Fork Salmon River nr Clayton, ID",ID,44.26666667,-114.325,0,US/Mountain,.......................,,ft,0,,,,hydromet,idpwr,PN,1.71E+11
csro,"Cold Springs Recharge Canal near Hermiston, OR",OR,45.86638889,-119.1672222,710,US/Pacific,48:27.7,14019110,ft,0,,,,hydromet,owrd,PN,1.71E+11
csto,CASCADE SUMMIT,OR,43.58333333,-122.05,207,0,.......................,388,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.71E+11
csvu,"Castle Valley, Utah AgriMet Weather Station",UT,38.648302,-109.398967,1429,US/Mountain,3/11/2015,,m,0,agrimet_map,,,agrimet,pnro,PN,1.40E+11
ctli,COEUR D'ALENE RIVER AT CATALDO ID,ID,47.55464,-116.324059,2160,US/Pacific,54:18.9,12413500,ft,0,,,,hydromet,usgs,PN,1.70E+11
ctz01,"Cortez, Colorado CoAgMet Weather Station",CO,37.2248,-108.673,1833,US/Mountain,1/2/1992,0,0,0,ccc,,T,agrimet,ccc,PN,1.41E+11
culo,"Deschutes River near Culver, OR (USGS)",OR,44.498729,-121.321156,1980,US/Pacific,.......................,14076500,ft,0,,,,hydromet,usgs,PN,1.71E+11
culver,Sum: Deschutes at Culver and Crooked bel Opal Sprgs,OR,44.49888889,-121.32,1980,US/Pacific,.......................,0,ft,0,,,,hydromet,,PN,1.71E+11
cumw,COUGAR MOUNTAIN,WA,47.26666667,-121.6666667,174.3333333,0,.......................,420,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.71E+11
cvai,CENTERVILLE ARBAUGH RANCH,ID,43.9,-115.85,0,US/Mountain,00:00.0,0,ft,0,,,,hydromet,NWS,PN,1.71E+11
cvan,"DRI - Carson Valley, Nevada Weather Station",NV,38.992778,-119.803889,1425.5496,US/Pacific,8/10/2010,,m,0,agrimet_map,,,agrimet,dri,PN,1.61E+11
cvpi,Clementsville Pump,ID,43.87472222,-111.2472222,6000,US/Mountain,40:12.0,13054042,ft,0,,,,hydromet,IDWR,PN,1.70E+11
cxci,Crosscut Canal at Head,ID,44.01666667,-111.5833333,5040,US/Mountain,00:00.0,0,ft,0,,,,hydromet,IDWR,PN,1.70E+11
cxmi,Crosscut Canal at Middle,ID,43.97611111,-111.6041667,5020,US/Mountain,.......................,13050016,ft,0,,,,hydromet,IDWR,PN,1.70E+11
cypw,Cayuse Pass,wa,0,0,0,,,,,0,,,T,,,PN,
dalo,DALY LAKE,OR,44.51666667,-122.0833333,183.5,0,.......................,434,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.71E+11
dane,"Davis Creek Dam, Nebraska",NE,41.40472,-98.70778,2094,CST,,,,,,,,,,GP,
dano,"Danner, OR",OR,42.94030682,-117.3403657,4225,US/Mountain,00:00.0,,ft,0,Bill_KML,,,hydromet,pnro,PN,1.71E+11
davw,"Davenport Hydromet Station, WA",WA,47.65607682,-118.1319282,2400,US/Pacific,48:30.2,,ft,0,Bill_KML,,,hydromet,pnro,PN,1.70E+11
dcdb,DUNCAN RES,BC,50.25,-116.95,0,US/Mountain,00:00.0,0,ft,0,,,,hydromet,,PN,1.70E+11
dcio,"Deer Creek near Izee, OR",OR,44.19694444,-119.4686111,4010,US/Pacific,26:52.4,0,ft,0,,,,hydromet,OWRD,PN,1.71E+11
dcmo,Deschutes County MID Canal,OR,44.06888889,-121.3125,3540,US/Pacific,28:33.3,14068500,ft,0,,,,hydromet,owrd,PN,1.71E+11
ddsi,DEADWOOD SUMMIT,ID,44.53333333,-115.55,229.3333333,0,.......................,439,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.71E+11
debo,"Deschutes River Below Bend, OR",OR,44.082895,-121.30781,3504,US/Pacific,28:48.6,14070500,ft,0,,,,hydromet,owrd,PN,1.71E+11
ded,"Deadwood Dam, Idaho",ID,44.29364018,-115.6459499,5334,US/Mountain,00:00.0,,ft,0,cma_google,,,hydromet,pnro,PN,1.71E+11
dedews,Deadwood Reservoir SOD Sensors,ID,44.31055556,-115.6613889,5334,US/Mountain,.......................,0,ft,0,,,,hydromet,,PN,1.71E+11
dedews1,"Deadwood Dam SOD Sensor Sets 11,12",ID,44.31055556,-115.6613889,5334,US/Mountain,00:00.0,0,ft,0,,,,hydromet,,PN,1.71E+11
dedews2,"Deadwood Dam SOD Sensor Sets 13,14",ID,44.31055556,-115.6613889,5334,US/Mountain,00:00.0,0,ft,0,,,,hydromet,,PN,1.71E+11
dedi,Deadwood River below Deadwood Dam,ID,44.29360612,-115.6459166,5200,US/Mountain,00:00.0,13236500,ft,0,Bill_KML,,,hydromet,usgs/pnro,PN,1.71E+11
defo,"Dee Flat, Oregon AgriMet Weather Station",OR,45.58638,-121.64055,350.52,US/Pacific,10/20/1988,,m,0,agrimet_map,,,agrimet,pnro,PN,1.71E+11
deni,"Dworshak - Dent Acres, Idaho AgriMet Weather Station",ID,46.62333,-116.22055,499.87,US/Mountain,4/19/2002,,m,0,agrimet_map,,,agrimet,pnro,PN,1.71E+11
depw,DEEP CREEK BELOW COPPER CREEK,WA,46.8325,-121.3177778,3600,US/Pacific,08:09.5,0,ft,0,,,,hydromet,Yakima,PN,1.70E+11
dero,DERR.,OR,44.43333333,-119.9166667,216.5,0,.......................,440,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.71E+11
dfr,"Deerfield Reservoir, South Dakota",SD,44.02806,-103.78583,5958,MST,,,,,,,,,,GP,
dfwi,Deer Flat Upper Embankment Warning System,ID,43.56111111,-116.6591667,2520,US/Mountain,19:42.3,0,ft,0,,,,hydromet,PNRO,PN,1.71E+11
dggi,Teton River above S. Leigh Creek,ID,43.781389,-111.209167,5960,US/Mountain,00:00.0,13052200,ft,0,,,,hydromet,usgs,PN,1.70E+11
dhdi,DOLLARHIDE SUMMIT,ID,43.6,-114.6666667,254.3333333,0,.......................,450,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.70E+11
dhlm,DARKHORSE LAKE,MT,45.16666667,-113.5833333,256.3333333,0,.......................,436,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.00E+11
diao,DIAMOND LAKE,OR,43.18333333,-122.1333333,210,0,.......................,442,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.71E+11
dico,"Dead Indian Collection Canal nr. Pinehurst, OR",OR,42.26388889,-122.4491667,4540,US/Pacific,05:55.3,0,ft,0,,,,hydromet,BFO,PN,1.80E+11
dleo,"Dillon Canal near Stanfield, OR",OR,45.76611111,-119.2161111,604,US/Pacific,55:45.4,14031000,ft,0,,,,hydromet,owrd,PN,1.71E+11
dllo,"Tualatin River near Dilley, Oregon",OR,45.474837,-123.124274,0,US/Pacific,00:00.0,14203500,ft,0,,,,hydromet,usgs,PN,1.71E+11
dlnm,"Dillon, MT (DLNM)",MT,45.3335762,-112.5093918,0,US/Mountain,,,,0,usbr_map.json,,,agrimet,great_plains,PN,1.00E+11
dlt01,"Delta, Colorado CoAgMet Weather Station",CO,38.73,-108.12,1527,US/Mountain,4/19/1995,,,0,CoAgMet,,,agrimet,ccc,PN,1.40E+11
dnci,Danskin Canal,ID,43.22083333,-112.3541667,4495,US/Mountain,00:00.0,13061995,ft,0,,,,hydromet,IDWR,PN,1.70E+11
domo,Dooley Mountain,or,0,0,0,,,,,0,,,T,,,PN,
dpym,DUPUYER CREEK,MT,48.05,-112.75,207.8333333,0,.......................,458,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.00E+11
drcn,DRAW CREEK,NV,41.65,-115.3166667,235,0,.......................,454,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.60E+11
drco,Deer Creek above Phillips Lake,OR,44.69166667,-118.0638889,4083,US/Pacific,20:51.1,0,ft,0,,,,hydromet,PNRO,PN,1.71E+11
drfu,"UCC - Drainage Farm, Utah Weather Station",UT,41.76295,-111.87895,1351.788,US/Mountain,,,m,0,agrimet_map,,,agrimet,ucc,PN,1.60E+11
drgi,"DRIGGS, ID  (monthly)",ID,0,0,0,US/Mountain,.......................,0,ft,0,,,,hydromet,,PN,
drgs,USBR Boise Direct Readout Ground Station,ID,43.615,-116.2519444,0,US/Mountain,.......................,0,ft,0,,,,hydromet,PNRO,PN,1.71E+11
drii,"Deadwood River above Deadwood Reservoir, ID",ID,44.34833333,-115.6497222,5360,US/Mountain,.......................,0,ft,0,,,,hydromet,PNRO,PN,1.71E+11
drlm,"Deer Lodge, Montana AgriMet Weather Station",MT,46.33555,-112.76666,1426.46,US/Mountain,6/4/1998,,m,0,agrimet_map,,,agrimet,pnro,PN,1.70E+11
drmi,"Deadwood River at Mouth near Lowman, ID",ID,44.08611111,-115.6611111,3690,US/Mountain,.......................,0,ft,0,,,,hydromet,PNRO,PN,1.71E+11
drpw,"Deer Park, Washington Weather Station",WA,47.954642,-117.433522,662.94,US/Pacific,6/25/2014,,m,0,agrimet_map,,,agrimet,pnro,PN,1.70E+11
drso,"Drewsey, OR",OR,43.80777778,-118.3763889,3516,US/Mountain,00:00.0,0,ft,0,,,,hydromet,PNRO,PN,1.71E+11
drw,"Drews Reservoir near Lakeview, OR",OR,42.12083333,-120.6152778,4920,US/Pacific,.......................,0,ft,0,,,,hydromet,OWRD,PN,1.80E+11
dryi,"Dry Bed near Ririe, ID",ID,43.63900029,-111.7160517,4985,US/Mountain,00:00.0,13038000,ft,0,Bill_KML,,,hydromet,usgs/pnro,PN,1.70E+11
dryw,"Dry Falls Dam Weather Station at Coulee City, WA",WA,47.61419548,-119.2995869,1235,US/Pacific,42:52.0,,ft,0,Bill_KML,,,hydromet,pnro,PN,1.70E+11
dspn,DISASTER PEAK,NV,41.96666667,-118.1833333,226.3333333,0,.......................,445,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.60E+11
dtro,"Detroit Lake, Oregon AgriMet Weather Station",OR,44.73,-122.17916,510.54,US/Pacific,9/26/2002,,m,0,agrimet_map,,,agrimet,pnro,PN,1.71E+11
ducu,"Duchesne, Utah AgriMet Weather Station",UT,40.18068,-110.36013,1675,US/Mountain,,,m,0,agrimet_map,,,agrimet,pnro,PN,1.41E+11
dwni,"Downey, Idaho Weather Station",ID,42.43355,-112.12929,1483,US/Mountain,11/5/2014,,m,0,agrimet_map,,,agrimet,pnro,PN,1.70E+11
dwr,DWORSHAK RESERVOIR,ID,46.51666667,-116.2916667,0,US/Mountain,00:00.0,0,ft,0,,,,hydromet,Corps,PN,1.71E+11
eapr,"E.A. Patterson Lake (Dickinson), North Dakota",ND,46.86972,-102.82694,2430,MST,,,,,,,,,,GP,
easw,YAKIMA RIVER AT EASTON WA.,WA,47.23888889,-121.1777778,0,US/Pacific,00:00.0,0,ft,0,,,,hydromet,Yakima,PN,1.70E+11
ebco,"East Birch Creek at Pilot Rock, OR",OR,45.48416667,-118.8344444,1617,US/Pacific,.......................,0,ft,0,,,,hydromet,OWRD,PN,1.71E+11
ebri,"INL - Material Fuels Complex, Idaho",ID,43.594133,-112.651733,1687.335958,US/Mountain,,,ft,0,,,,agrimet,noaa,PN,1.70E+11
echo,"Echo, Oregon AgriMet Weather Station",OR,45.71861,-119.31111,231.65,US/Pacific,3/24/1988,,m,0,agrimet_map,,,agrimet,pnro,PN,1.71E+11
eeeo,Pump Plant E/EE Klamath,OR,0,0,0,,,,,0,,,,hydromet,,PN,
efhw,"Entiat Fish Hatchery, Washington Weather Station",WA,47.69796,-120.32373,315,US/Pacific,9/26/2013,,m,0,agrimet_map,,,agrimet,pnro,PN,1.70E+11
egci,Egin Canal,ID,43.96527778,-111.6861111,4950,US/Mountain,00:00.0,13050525,ft,0,,,,hydromet,IDWR,PN,1.70E+11
eglo,"ROGUE AT DODGE BRIDGE, near Eagle Point, OR",OR,42.524847,-122.84282,0,US/Pacific,00:00.0,14339000,ft,0,,,,hydromet,usgs,PN,1.71E+11
egso,"Emigrant Creek Above Green Springs Powerplant, OR",OR,42.12222222,-122.5463889,2440,US/Pacific,06:12.6,14348400,ft,0,,,,hydromet,owrd,PN,1.71E+11
eimo,EILERTSON MEADOWS,OR,44.86666667,-118.1,209.8333333,0,.......................,464,ft,0,Config_Data_ SS,,,snotel,snotel,PN,1.71E+11
